id,nombre,distrito,lat,lng,zona,subzona,precioMedio,precioM2,metrosCuadrados,fuente,fechaActualizacion,ventajas,desventajas
"11","Lista","Salamanca","40.4328","-3.6756","Capital","Este","2100","24","87","Fotocasa","Febrero 2025","Calle Ortega y Gasset - eje de comercio de lujo con boutiques internacionales | Zona residencial consolidada y elegante con arquitectura señorial bien conservada | Nudo de transporte Diego de León (L4,L5,L6,L7) - mejor conectado del distrito | Comercio variado desde alta gama hasta cadenas internacionales en Calles López de Hoyos y Príncipe de Vergara | Ambiente sofisticado con galerías de arte y anticuarios en Calles Juan Bravo y Lagasca | Servicios premium: clínicas privadas exclusivas, consulados y oficinas corporativas | Proximidad a Parque de la Fuente del Berro y Quinta de los Molinos | Restaurantes de alta cocina y gastronomía internacional en Calles Padilla y Ayala","Precios entre los más altos de Salamanca - €24/m² solo superado por Recoletos | Tráfico intenso constante en ejes principales como Ortega y Gasset y Príncipe de Vergara | Aparcamiento extremadamente complicado - zona comercial con alta rotación | Vida nocturna casi inexistente - ambiente residencial y comercial diurno | Masificación en horas comerciales - calles colapsadas de compradores | Edificios con normas de comunidad muy estrictas y conservadoras | Falta de diversidad social - perfil socioeconómico muy homogéneo y alto"
"12","Castellana","Salamanca","40.4386","-3.6873","Capital","Norte","2350","25","94","Bankinter","Marzo 2025","Paseo de la Castellana - principal arteria de Madrid con arquitectura emblemática | Edificios corporativos y residenciales de alta gama con vistas panorámicas | Zona empresarial premium con sedes de multinacionales e instituciones financieras | Excelentes comunicaciones: Cuzco (L10), Santiago Bernabéu (L10) y Nuevos Ministerios (L6,L8,L10,Cercanías) | Torres emblemáticas como Picasso, Europa y Space con servicios de lujo | Proximidad al estadio Santiago Bernabéu y centros de convenciones IFEMA | Seguridad y vigilancia 24/7 en zona de alto valor corporativo | Gastronomía ejecutiva y restaurantes de negocios de alta gama","Segundo barrio más caro de Madrid - solo superado por Recoletos en precio | Tráfico intenso constante en Paseo de la Castellana - ruido permanente | Ambiente excesivamente corporativo - vacío los fines de semana y noches | Comercio de proximidad casi inexistente - predominio de oficinas y restaurantes ejecutivos | Falta de vida vecinal auténtica - población flotante de ejecutivos internacionales | Aparcamiento en garajes privados desde €300-€500 mensuales | Zona fría y impersonal - carece del carácter tradicional madrileño"
"13","Pacífico","Retiro","40.4044","-3.6723","Capital","Sureste","1600","19.5","82","Fotocasa","Febrero 2025","Estación de Atocha a 10 minutos - conexión nacional e internacional de trenes | Excelente comunicación: Metro Pacífico (L6), Menéndez Pelayo (L1) y Cercanías | Precio más razonable del distrito Retiro - 20% más barato que Jerónimos | Barrio tranquilo y residencial con calles poco transitadas | Mercado de Pacífico - comercio tradicional con precios asequibles | Centros de salud y colegios públicos bien dotados en zona cercana | Proceso de renovación urbana con nuevas promociones residenciales | Fácil acceso a M-30 y salidas de ciudad por Avenida de la Ciudad de Barcelona","Menos zonas verdes que otros barrios de Retiro - alejado del parque principal | Tráfico constante de Atocha y estación de autobuses en calles aledañas | Edificios de los años 60-70 envejecidos sin reformas integrales | Comercio local limitado - predominio de cadenas estándar y servicios básicos | Ambiente menos exclusivo que otras zonas del distrito Retiro | Aparcamiento complicado en horas laborables por proximidad a estación | Falta de identidad propia - zona de transición entre centro y periferia"
"14","Adelfas","Retiro","40.3984","-3.6602","Capital","Sureste","1550","19","82","Idealista","Marzo 2025","Precio más bajo del distrito Retiro - 30% más económico que Jerónimos | Acceso directo a M-30 - salidas rápidas a cualquier punto de Madrid | Zona residencial familiar con parques infantiles y áreas deportivas | Parque de la Arganzuela y Madrid Río a 15 minutos andando | Comunicación aceptable: Metro Conde de Casal (L6) y múltiples líneas de bus | Comercio local asequible en Calles Martínez de la Riva y Doctor Esquerdo | Ambiente tranquilo y seguro - preferido por familias jóvenes | Proceso de mejora urbana con nuevas zonas verdes y equipamientos","Más alejado del Parque del Retiro - 25-30 minutos andando | Menos servicios premium que otras zonas del distrito | Edificios de los años 70 con necesidades de reforma | Ambiente más periférico - carece del carácter señorial de Retiro | Transporte público menos frecuente que en zonas céntricas | Falta de oferta cultural y de ocio - principalmente zona dormitorio | Comercio básico - pocas opciones de restauración y ocio nocturno"
"15","Estrella","Retiro","40.4089","-3.6638","Capital","Este","1700","20.5","83","Bankinter","Febrero 2025","A 10 minutos del Parque del Retiro - acceso por Puerta de O'Donnell | Zona tranquila y señorial con arquitectura bien conservada | Colegios públicos y concertados de prestigio en radio cercano | Calles arboladas y amplias aceras - ideal para familias | Ambiente residencial de calidad con baja densidad de tráfico | Mercado de la Estrella - productos frescos y comercio tradicional | Proximidad a instalaciones deportivas del Canal de Isabel II | Arquitectura de los años 40-50 bien mantenida con carácter histórico","Metro más alejado - Ibiza (L9) a 10-15 minutos andando para algunas calles | Comercio de proximidad limitado - pocas opciones de ocio y restauración | Aparcamiento complicado - zona residencial con alta ocupación | Precios en alza constante - gentrificación en proceso | Vida nocturna casi inexistente - ambiente familiar y tranquilo | Falta de diversidad generacional - población mayoritariamente estable | Servicios concentrados en ejes principales - dispersión en calles interiores"
"16","Ibiza","Retiro","40.4012","-3.6589","Capital","Este","1950","22.5","87","Fotocasa","Marzo 2025","Junto al Parque del Retiro - acceso directo por Puerta de Ibiza | Zona muy residencial exclusiva con calles amplias y arboladas | Arquitectura señorial y edificios de calidad bien conservados | Ambiente exclusivo y tranquilo - uno de los preferidos de Retiro | Metro Ibiza (L9) a menos de 5 minutos - buena conexión con centro | Colegios internacionales y centros educativos de élite cercanos | Servicios de calidad: clínicas privadas, boutiques y restaurantes selectos | Seguridad y tranquilidad - una de las zonas más seguras de Madrid","Precios elevados - entre los más altos del distrito después de Jerónimos | Comercio muy limitado - pocas opciones de compras y ocio | Excesiva tranquilidad para algunos - falta de vida social activa | Edificios antiguos sin modernizar en algunas manzanas | Aparcamiento muy disputado - zona residencial de alta demanda | Falta de diversidad - perfil socioeconómico muy homogéneo | Alejado de centros de ocio y vida nocturna - ambiente estrictamente residencial"
"17","Jerónimos","Retiro","40.4142","-3.6866","Capital","Centro-Este","2200","24","92","Bankinter","Febrero 2025","Ubicación privilegiada junto a Museo del Prado y Reina Sofía | Zona monumental icónica - Puerta de Alcalá, Cibeles y Fuente de Neptuno | Acceso directo al Parque del Retiro por puertas principales | Máximo prestigio residencial - dirección de lujo en Madrid | Excelente comunicación: Banco de España (L2), Retiro (L2) y Atocha | Arquitectura palaciega y edificios históricos perfectamente conservados | Ambiente cultural excepcional - rodeado de museos e instituciones | Seguridad y exclusividad - una de las zonas más vigiladas de Madrid","Precios muy elevados - entre los 5 más caros de toda Madrid | Masificación turística permanente - difícil intimidad vecinal | Comercio cotidiano casi inexistente - todo orientado al turismo cultural | Tráfico constante en Paseo del Prado y calles aledañas | Imposible aparcamiento - zona de máxima restricción y rotación | Falta de servicios básicos - farmacias, supermercados escasos | Edificios con normas de comunidad muy restrictivas y conservadoras"
"18","Niño Jesús","Retiro","40.412","-3.6781","Capital","Este","1800","21","86","Idealista","Marzo 2025","Hospital Infantil Niño Jesús - centro de referencia nacional pediátrica | A 8 minutos del Parque del Retiro - acceso por Puerta de Sainz de Baranda | Zona residencial consolidada con edificios bien conservados | Excelente relación calidad-precio dentro del distrito Retiro | Comunicación aceptable: Ibiza (L9) y O'Donnell (L6) a 10-12 minutos | Ambiente tranquilo y familiar - baja densidad de tráfico | Colegios públicos y privados de calidad en zona cercana | Comercio local en Calles Doctor Esquerdo y Menorca","Alejado del centro histórico - 25-30 minutos andando a Sol | Tráfico hospitalario constante en Calles Menéndez Pelayo y Doctor Esquerdo | Comercio limitado comparado con otras zonas de Retiro | Metro más distante que en barrios céntricos del distrito | Falta de vida nocturna - ambiente estrictamente residencial | Edificios de los años 50-60 sin el glamour de otras zonas de Retiro | Servicios concentrados en ejes principales - dispersión en interiores"
"19","Gaztambide","Chamberí","40.4372","-3.7182","Capital","Noroeste","1900","23","83","Idealista","Febrero 2025","Junto a Ciudad Universitaria - ambiente joven y dinámico | Precio más razonable de Chamberí - 15% menos que Almagro | Buena conexión con Moncloa y Argüelles - Metro Islas Filipinas (L7) | Comercio local auténtico en Calles Gaztambide y Fernández de los Ríos | Ambiente multicultural con estudiantes y jóvenes profesionales | Proceso de renovación con nuevos comercios y restaurantes trendy | Fácil acceso a zonas verdes: Parque de la Bombilla y Oeste | Arquitectura tradicional madrileña con patios interiores","Ruido universitario en periodos de exámenes y fiestas | Alejado del centro de Chamberí - 15-20 minutos andando a Plaza Olavide | Tráfico intenso en Cea Bermúdez y Avenida de la Reina Victoria | Aparcamiento muy complicado - alta densidad de residentes y estudiantes | Edificios antiguos con necesidades de reforma en algunas zonas | Falta de zonas verdes dentro del propio barrio | Comercio básico - pocas opciones de lujo o especializadas"
"20","Arapiles","Chamberí","40.4324","-3.7117","Capital","Centro-Oeste","1950","23.5","83","Bankinter","Marzo 2025","Ubicación céntrica - a 15 minutos andando de Plaza de España | Templo de Debod y Parque del Oeste a 8 minutos andando | Excelente comunicación: Metro Argüelles (L3,L4,L6) y San Bernardo (L2,L4) | Comercio variado en Calles Alberto Aguilera y Princesa | Zona residencial consolidada con buena mezcla de residentes | Arquitectura tradicional bien conservada con carácter histórico | Ambiente tranquilo pero bien conectado - equilibrio perfecto | Proximidad a colegios y universidades: Complutense y centros privados","Edificios antiguos con problemas de mantenimiento en patios interiores | Calles estrechas como Arapiles y Magallanes con difícil acceso | Precios en fuerte alza - +20% en últimos 2 años por gentrificación | Aparcamiento extremadamente complicado - zona de alta densidad | Falta de plazas de garaje en edificios históricos | Ruido de tráfico en ejes principales como Alberto Aguilera | Presión turística por proximidad a Templo de Debod"
"21","Trafalgar","Chamberí","40.4283","-3.7065","Capital","Centro","2100","24.5","86","Idealista","Febrero 2025","Corazón de Chamberí - Plaza de Olavide como centro neurálgico | Calle Fuencarral - eje comercial principal con tiendas y restaurantes | Excelente transporte: Bilbao (L1,L4), Iglesia (L1) y Quevedo (L2) | Arquitectura señorial perfectamente conservada del siglo XIX | Ambiente vibrante pero residencial - equilibrio perfecto | Comercio de calidad: boutiques, delicatessen y restaurantes gourmet | Plaza de Olavide - zona peatonal con terrazas y ambiente familiar | Servicios de proximidad excelentes: farmacias, bancos, colegios","Precios premium - entre los más altos de Chamberí | Calles muy transitadas - difícil tranquilidad en ejes comerciales | Ruido constante de comercio y terrazas hasta altas horas | Espacios verdes limitados - solo pequeñas plazas ajardinadas | Aparcamiento caótico - una de las zonas más conflictivas de Madrid | Masificación en fines de semana - colapsado de compradores | Presión turística por conexión con Malasaña y Centro"
"22","Almagro","Chamberí","40.4337","-3.6965","Capital","Este","2150","24.8","87","Bankinter","Marzo 2025","Uno de los barrios más elegantes de Madrid - dirección de prestigio | Junto a Paseo de la Castellana - conexión directa con centro financiero | Embajadas y edificios señoriales perfectamente conservados | Máxima calidad de vida - tranquilidad y exclusividad | Excelente comunicación: Rubén Darío (L5), Alonso Martínez (L4,L5,L10) | Comercio exclusivo en Calles Génova y Zurbano - boutiques y anticuarios | Seguridad y privacidad - una de las zonas más seguras de Madrid | Arquitectura de lujo con amplias viviendas y zonas comunes","Precios muy elevados - entre los 3 más caros de Chamberí | Ambiente excesivamente formal y conservador | Comercio cotidiano casi inexistente - todo orientado al lujo | Aparcamiento imposible - zona de máxima restricción y embajadas | Vida nocturna nula - ambiente estrictamente residencial y diplomático | Falta de diversidad social - perfil socioeconómico muy alto | Edificios con normas de comunidad extremadamente restrictivas"
"23","Vallehermoso","Chamberí","40.4422","-3.7101","Capital","Norte","1880","22.8","82","Fotocasa","Febrero 2025","Mercado de Vallehermoso renovado - gastronomía y productos gourmet | Ambiente de barrio auténtico - mezcla de tradición y modernidad | Polideportivo Canal Isabel II - instalaciones deportivas de calidad | Zona verde del Canal - espacios abiertos y áreas de paseo | Comercio local en Calles Vallehermoso y Santísima Trinidad | Arquitectura tradicional con carácter - patios y corralas | Proceso de revitalización con nuevos residentes jóvenes | Precio más asequible que otros barrios de Chamberí","Alejado del centro de Chamberí - 20 minutos andando a Plaza Olavide | Cuestas pronunciadas en Calles Martínez Campos y Vallehermoso | Metro más distante: Canal (L2,L7) a 10-15 minutos para algunas calles | Edificios antiguos con necesidades de reforma y mantenimiento | Tráfico en Avenida de Filipinas y Guzmán el Bueno | Falta de zonas verdes propias - dependencia del Canal | Comercio básico - pocas opciones de ocio y restauración"
"24","Ríos Rosas","Chamberí","40.4437","-3.7001","Capital","Norte","1800","22","82","Idealista","Marzo 2025","Cerca de Nuevos Ministerios - conexión con centro empresarial | Excelente transporte: Ríos Rosas (L1), Cuatro Caminos (L1,L2,L6) | Precio más contenido de Chamberí - opción económica del distrito | Zona tranquila y residencial con baja densidad comercial | Escuelas de ingeniería: Minas y Industriales - ambiente universitario | Fácil acceso a Castellana y centros de negocios | Arquitectura funcional pero bien conservada | Proximidad a Parque de Santander y zonas deportivas","Ambiente algo impersonal - zona de transición entre distritos | Tráfico de oficinas en horas punta - Calles Raimundo Fernández Villaverde | Comercio local limitado - pocas opciones de calidad | Ambiente corporativo - vacío los fines de semana | Falta de identidad propia - entre Chamberí y Tetuán | Edificios de oficinas mezclados con residencial - menos cohesión vecinal | Pocos espacios verdes - dependencia de parques exteriores"
"25","Entrevías","Puente de Vallecas","40.3846","-3.6521","Capital","Sureste","1100","13.7","80","Idealista","Febrero 2025","Precio más bajo del distrito - 60% más barato que media Madrid | Metro Buenos Aires (L1) - conexión directa con centro en 20 minutos | Barrio obrero auténtico - fuerte identidad comunitaria | En proceso de renovación - mejoras urbanísticas en curso | Comercio muy económico - precios asequibles en alimentación y servicios | Asociaciones vecinales muy activas - tejido social fuerte | Fácil aparcamiento - menor densidad vehicular que centro | Proximidad a M-40 - salidas rápidas a otras zonas","Imagen social negativa - estigmatización histórica del barrio | Edificios muy antiguos de los años 50-60 con carencias | Muy alejado del centro de Madrid - 30-40 minutos en transporte | Pocas zonas verdes - carencia de parques y áreas recreativas | Servicios públicos limitados - centros de salud y educativos saturados | Desempleo superior a media madrileña - problemas económicos | Falta de inversión privada - comercio básico y poco diversificado"
"26","San Diego","Puente de Vallecas","40.3918","-3.6634","Capital","Sureste","1250","15.6","80","Fotocasa","Marzo 2025","Precio económico - 50% más barato que media Madrid | Buena conexión de metro: Portazgo (L1) y Congosto (L1) | Zona multicultural - diversidad de nacionalidades y culturas | Comercio de proximidad muy económico en Avenida de la Albufera | Mercado de San Diego - productos frescos a precios asequibles | Ambiente comercial vibrante - todo tipo de servicios básicos | Fácil aparcamiento comparado con zonas céntricas | Comunidad vecinal activa - eventos y fiestas populares","Alta densidad poblacional - edificios con muchas viviendas | Edificios de los años 60-70 con necesidades de reforma | Pocas opciones de ocio y cultura - limitado a comercio básico | Percepción de barrio obrero - estigma social persistente | Tráfico intenso en Avenida de la Albufera - principal eje | Falta de zonas verdes - espacios públicos limitados | Servicios educativos y sanitarios saturados por alta demanda"
"27","Palomeras Bajas","Puente de Vallecas","40.3859","-3.6423","Capital","Sureste","1280","16","80","Idealista","Febrero 2025","Parque de Palomeras - zona verde amplia con áreas deportivas | Precio asequible - opción económica para familias | Zona familiar - ambiente tranquilo y seguro | Buena conexión: Metro Buenos Aires (L1) y Vinateros (L1) | Comercio local en Calles Arroyo del Olivar y Sierra Toledana | Colegios públicos y centros de salud en radio cercano | Aparcamiento más fácil que en barrios céntricos | Proceso de mejora urbana con renovación de espacios","Muy alejado del centro de Madrid - 35-40 minutos en transporte | Edificios monótonos de promoción pública años 70-80 | Poco atractivo urbanístico - arquitectura repetitiva | Servicios básicos - falta de opciones culturales y de ocio | Dependencia del automóvil - transporte público limitado | Falta de diversidad comercial - todo orientado a necesidades básicas | Aislamiento relativo - percepción de barrio periférico"
"28","Palomeras Sureste","Puente de Vallecas","40.3796","-3.6342","Capital","Sureste","1300","16.2","80","Fotocasa","Marzo 2025","Precio económico - opción más asequible de Vallecas | Cerca del Parque Forestal de Entrevías - amplia zona verde | Zona residencial tranquila - menor densidad que otros barrios | Viviendas más amplias - promociones de los 80 con mejores espacios | Comercio básico en Calles Sierra de Guadalupe y Sierra de Gredos | Ambiente familiar - preferido por familias con niños | Aparcamiento relativamente fácil - menor presión vehicular | Proceso de renovación con mejoras en infraestructuras","Zona muy periférica - límite sureste de Madrid capital | Metro algo alejado - Entrevías (L1) a 15-20 minutos andando | Pocas opciones culturales y de ocio - todo muy básico | Gran distancia al centro - 45-50 minutos en transporte público | Dependencia total de comercio local - pocas alternativas | Falta de servicios especializados - todo concentrado en ejes principales | Aislamiento geográfico - percepción de barrio desconectado"
"29","Portazgo","Puente de Vallecas","40.3962","-3.6503","Capital","Sureste","1320","16.5","80","Idealista","Febrero 2025","Metro Portazgo (L1) - conexión directa con centro en 18 minutos | Centro Comercial Alcampo - hipermercado y tiendas a precios económicos | Hospital Infanta Leonor - centro sanitario de referencia del sureste | Precio razonable para la zona - 35% más barato que media Madrid | Comercio local muy económico en Avenida de la Albufera | Fácil acceso a M-40 - salidas rápidas a otras zonas | Asociaciones vecinales activas - fuerte tejido comunitario | Aparcamiento relativamente fácil - menor presión que centro","Zona comercial saturada - tráfico constante en ejes principales | Tráfico intenso en Avenida de la Albufera - principal arteria del distrito | Estética urbana mejorable - fachadas descuidadas y espacios públicos | Muy alejado del centro - 30-35 minutos en transporte público | Falta de zonas verdes - carencia de parques y áreas recreativas | Comercio básico - pocas opciones de calidad o especializadas | Imagen de barrio obrero - estigmatización social persistente"
